Techmasai,http://www.techmasai.com/,http://www.techmasai.com/feed/
"White African",http://whiteafrican.com/,http://feeds.feedburner.com/white_african
Afrigadget,http://afrigadget.com/,http://feeds.feedburner.com/afrigadget
Stii,http://stii.co.za,http://stii.co.za/feed/
"Electronic Media Laboratory",http://www.ml.sun.ac.za/,http://www.ml.sun.ac.za/feed
"Charl van Niekerk",http://blog.charlvn.com,http://blog.charlvn.com/feeds/posts/default
Appfrica,http://appfrica.net/blog/,http://appfrica.net/blog/feed
StartupAfrica,http://www.startupafrica.com/,http://www.startupafrica.com/feed/
"My Hearts in Accra",http://www.ethanzuckerman.com/blog/,http://www.ethanzuckerman.com/blog/feed/
"Ushahidi Blog",http://blog.ushahidi.com/,http://blog.ushahidi.com/index.php/feed/
